,Code,Year,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%)
5268,SWE,1993,18.673085919600002
5269,SWE,1994,18.6976467671
5270,SWE,1995,18.723799481900002
5271,SWE,1996,18.6323904735
5272,SWE,1997,18.5500951685
5273,SWE,1998,18.4647710211
5274,SWE,1999,18.397964138
5275,SWE,2000,18.3218465629
5276,SWE,2001,18.3135066099
5277,SWE,2002,18.318032648400003
5278,SWE,2003,18.3053449129
5279,SWE,2004,18.3162921324
5280,SWE,2005,18.3106130679
5281,SWE,2006,18.317882052999998
5282,SWE,2007,18.3167314792
5283,SWE,2008,18.3220615164
5284,SWE,2009,18.329794394500002
5285,SWE,2010,18.335148201099997
5286,SWE,2011,18.3047794229
5287,SWE,2012,18.2783719396
5288,SWE,2013,18.249878661900002
5289,SWE,2014,18.222606882
5290,SWE,2015,18.1934573339
5291,SWE,2016,18.172642951900002
5292,CHE,1990,17.7224996854
5293,CHE,1991,17.723579221199998
5294,CHE,1992,17.7239511006
5295,CHE,1993,17.7459617769
5296,CHE,1994,17.740790764899995
5297,CHE,1995,17.752354751
5298,CHE,1996,17.7072628978
5299,CHE,1997,17.690478868699998
5300,CHE,1998,17.6681334247
5301,CHE,1999,17.625753483
5302,CHE,2000,17.6004896179
5303,CHE,2001,17.536129389899994
5304,CHE,2002,17.4809485979
5305,CHE,2003,17.425365546600002
5306,CHE,2004,17.3762480904
5307,CHE,2005,17.3227438777
5308,CHE,2006,17.2817354019
5309,CHE,2007,17.239566563900002
5310,CHE,2008,17.2026139102
5311,CHE,2009,17.1546157723
5312,CHE,2010,17.1194069151
5313,CHE,2011,17.1207540497
5314,CHE,2012,17.0909294205
5315,CHE,2013,17.0917880888
5316,CHE,2014,17.0785863262
5317,CHE,2015,17.068030696799998
5318,CHE,2016,17.0675256514
5319,SYR,1990,16.4626907629
5320,SYR,1991,16.466646088599997
5321,SYR,1992,16.4651168853
5322,SYR,1993,16.4520214242
5323,SYR,1994,16.461190909000006
5324,SYR,1995,16.452741438
5325,SYR,1996,16.461138714300002
5326,SYR,1997,16.4660488936
5327,SYR,1998,16.4709731125
5328,SYR,1999,16.4630648239
5329,SYR,2000,16.4819446642
5330,SYR,2001,16.4645171899
5331,SYR,2002,16.4661743343
5332,SYR,2003,16.4664555666
5333,SYR,2004,16.458937936599998
5334,SYR,2005,16.453739455300006
5335,SYR,2006,16.443963976
5336,SYR,2007,16.4319434491
5337,SYR,2008,16.4173310496
