country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
DNK,7.507559299,10.71568489,0.956344306,70.61250305,0.941572249,0.106718063,0.237218335,0.832482934,0.232612774,0.457836896,1.238178492,1.962424636,1.669512272,0.222377494,0.285,0.267090909,0.469388217
DOM,5.387331963,9.444549561,0.890588045,63.01388168,0.904574394,-0.024666486,0.760023475,0.797704577,0.300099194,0.556982398,0.167447552,-0.423464239,2.991951227,0.555367887,0.445,0.4886875,0.529530406
ECU,5.945851803,9.296648026,0.830963194,66.75656128,0.719104826,-0.173039719,0.660934925,0.859315515,0.305792958,0.648474455,-0.110499188,-0.823377907,2.220031023,0.37337476,0.454,0.505928571,0.369594216
EGY,4.885072708,9.19824791,0.618550718,61.09413147,0.577937961,-0.135590494,0.749142587,0.542784274,0.327350169,0.703883886,-1.405888081,-0.718142271,2.213585138,0.45313248,,0.3122,0.361489147
SLV,5.856523514,8.949892998,0.797612131,63.66088104,0.77801466,-0.20256269,0.781459808,0.837205052,0.329850852,0.315775812,0.064006552,-0.141765803,2.579915524,0.440519959,0.418,0.4611875,0.455887049
EST,5.55598259,10.20779419,0.917101741,67.02971649,0.773327112,-0.162878647,0.652447462,0.680430651,0.203439116,0.414985895,0.97528398,1.342396259,1.858400702,0.334486425,0.346,0.333,0.363078892
ETH,4.506646633,7.261595249,0.640452147,55.43561935,0.693558931,0.090263993,0.701800287,0.73783654,0.302858293,0.682011604,-1.311870694,-0.601361513,2.046338797,0.454071283,,0.315,0.51554054
FIN,7.384571075,10.57176685,0.952016532,71.15820313,0.933043957,-0.011547559,0.265479892,0.784109592,0.198813885,0.468558848,1.412057161,2.037089586,1.608321071,0.217794791,0.268,0.275909091,0.429592639
FRA,6.466867924,10.53293419,0.877504528,72.58893585,0.803474188,-0.128684133,0.655637443,0.811054468,0.215893835,0.263801724,0.759364009,1.317823052,1.853521585,0.286618143,0.323,0.3203,0.432021111
GAB,3.918073177,9.721873283,0.828597128,55.88830566,0.606613815,-0.2192121,0.781658471,0.539160728,0.293042421,0.318829358,-0.358089507,-0.659413218,1.919494867,0.489907861,,0.422,0.568679333
GEO,4.287508011,9.076712608,0.558420002,63.96407318,0.71978116,-0.220717177,0.415525645,0.569884002,0.204327509,0.528196216,-0.018420786,0.600000978,2.04817462,0.477707475,0.401,0.4034375,0.391394109
DEU,6.984214306,10.68190861,0.937558949,71.07910156,0.898683429,0.077234603,0.473952919,0.785408497,0.187844872,0.601368845,1.180758357,1.782412052,1.664546013,0.238329738,,0.311571429,0.454417616
