,Code,Year,Work hours per persons engaged (hours per person engaged)
2642,ESP,1976,1985.883683373553
2643,ESP,1977,1998.3456813866296
2644,ESP,1978,1972.1326855659922
2645,ESP,1979,1928.7036924902486
2646,ESP,1980,1918.194694165788
2647,ESP,1981,1884.0266996134844
2648,ESP,1982,1863.005702965042
2649,ESP,1983,1830.8347080943397
2650,ESP,1984,1786.7167151284493
2651,ESP,1985,1776.6987167257046
2652,ESP,1986,1768.665718006474
2653,ESP,1987,1760.6467192850116
2654,ESP,1988,1756.6237199264328
2655,ESP,1989,1744.555721850537
2656,ESP,1990,1746.548721532776
2657,ESP,1991,1755.5627200955973
2658,ESP,1992,1747.5977213655249
2659,ESP,1993,1739.5847226431058
2660,ESP,1994,1738.5267228117916
2661,ESP,1995,1738.816722765555
2662,ESP,1996,1740.2025646320017
2663,ESP,1997,1742.4938744414928
2664,ESP,1998,1750.96424438483
2665,ESP,1999,1756.0534309378713
2666,ESP,2000,1752.755137499251
2667,ESP,2001,1762.5000289892043
2668,ESP,2002,1764.5739816536575
2669,ESP,2003,1755.9388572241244
2670,ESP,2004,1741.506897696902
2671,ESP,2005,1725.60058633239
2672,ESP,2006,1715.6556295246787
2673,ESP,2007,1703.4878247020188
2674,ESP,2008,1712.5523234274835
2675,ESP,2009,1719.6740348630096
2676,ESP,2010,1710.395733088928
2677,ESP,2011,1716.75647435596
2678,ESP,2012,1703.9007503947305
2679,ESP,2013,1699.2326078962326
2680,ESP,2014,1688.7942009848425
2681,LKA,1970,1574.334238227147
2682,LKA,1971,1574.3621801240106
2683,LKA,1972,1600.2445975447629
2684,LKA,1973,1675.6040965496895
2685,LKA,1974,1760.6999317647915
2686,LKA,1975,1830.2273549240147
2687,LKA,1976,1879.220762138112
2688,LKA,1977,1991.538593185298
2689,LKA,1978,2042.3278844240945
2690,LKA,1979,2016.1566896715567
2691,LKA,1980,1991.1712787467945
2692,LKA,1981,1975.5023286921328
2693,LKA,1982,2007.0380997489035
2694,LKA,1983,1969.9597825950077
2695,LKA,1984,1946.979492130492
2696,LKA,1985,1939.8525946322309
2697,LKA,1986,1939.5043091787438
2698,LKA,1987,1975.4570412572823
2699,LKA,1988,1992.2527699255188
2700,LKA,1989,2043.922183023445
2701,LKA,1990,1951.0654250049536
2702,LKA,1991,2031.9169457735247
2703,LKA,1992,1972.3731761386537
2704,LKA,1993,2010.596135358585
2705,LKA,1994,1973.3774853247492
2706,LKA,1995,1939.5225872689934
2707,LKA,1996,1944.5221961350915
2708,LKA,1997,1912.2769614835947
2709,LKA,1998,1900.1899652835184
2710,LKA,1999,1922.880108499096
2711,LKA,2000,1966.5097305863708
2712,LKA,2001,2029.162604233483
2713,LKA,2002,1943.0961343764386
2714,LKA,2003,1998.6518081404145
2715,LKA,2004,2008.215781622912
2716,LKA,2005,2044.5899970536245
2717,LKA,2006,2006.9113722730472
2718,LKA,2007,2053.879565464357
2719,LKA,2008,1966.2119581881527
2720,LKA,2009,1976.2524096450509
2721,LKA,2010,2010.359178958713
2722,LKA,2011,2005.4985195154773
2723,LKA,2012,2076.214862394375
2724,LKA,2013,2075.498917620258
2725,LKA,2014,2075.498917620258
2726,SWE,1950,1830.182012913643
2727,SWE,1951,1822.0115574988495
2728,SWE,1952,1822.0115574988495
2729,SWE,1953,1803.8549899104207
2730,SWE,1954,1813.8411020840567
2731,SWE,1955,1803.8549899104212
2732,SWE,1956,1781.1592804248846
2733,SWE,1957,1781.1592804248846
2734,SWE,1958,1752.1087722833981
2735,SWE,1959,1728.5052344184405
2736,SWE,1960,1723.9660925213334
2737,SWE,1961,1725.7817492801762
2738,SWE,1962,1714.887808727119
2739,SWE,1963,1709.4408384505896
2740,SWE,1964,1681.2981586885248
2741,SWE,1965,1671.3120465148886
2742,SWE,1966,1658.6024492029885
2743,SWE,1967,1630.4597694409238
2744,SWE,1968,1591.4231491258015
2745,SWE,1969,1570.543096399108
2746,SWE,1970,1570.543096399108
2747,SWE,1971,1559.7110957342459
2748,SWE,1972,1538.8430944533789
2749,SWE,1973,1532.9500940916696
2750,SWE,1974,1496.3410918446286
2751,SWE,1975,1455.9380893647135
2752,SWE,1976,1474.1450904822498
2753,SWE,1977,1468.6620901457059
2754,SWE,1978,1480.4840908713345
2755,SWE,1979,1514.2030929409889
2756,SWE,1980,1516.807093100821
2757,SWE,1981,1508.4110925854789
2758,SWE,1982,1522.5420934528324
2759,SWE,1983,1531.8390940234772
2760,SWE,1984,1534.0170941571616
2761,SWE,1985,1538.0540944049505
2762,SWE,1986,1536.0720942832966
2763,SWE,1987,1546.190094904334
2764,SWE,1988,1565.7600961055305
2765,SWE,1989,1564.6120960350665
2766,SWE,1990,1560.9370958094967
2767,SWE,1991,1547.6720949952978
2768,SWE,1992,1565.2800960760678
2769,SWE,1993,1596.9990980229636
2770,SWE,1994,1635.2218749230883
2771,SWE,1995,1640.3448860471312
2772,SWE,1996,1653.0408457237727
2773,SWE,1997,1657.9689354966363
2774,SWE,1998,1656.319015420538
2775,SWE,1999,1664.811682588084
2776,SWE,2000,1642.0825001162627
2777,SWE,2001,1618.207282913165
2778,SWE,2002,1594.8738960211233
2779,SWE,2003,1581.56322260125
2780,SWE,2004,1605.5104675827724
2781,SWE,2005,1605.0635822199738
2782,SWE,2006,1599.1271707670044
2783,SWE,2007,1611.4954469100876
2784,SWE,2008,1616.8645404363447
2785,SWE,2009,1609.1474364730175
2786,SWE,2010,1635.006781243747
2787,SWE,2011,1632.5169801462905
2788,SWE,2012,1618.3753295587155
2789,SWE,2013,1607.2370110416846
2790,SWE,2014,1608.5216840772393
2791,CHE,1950,1991.4592765935968
2792,CHE,1951,1983.9967547311114
2793,CHE,1952,1976.5621969014346
2794,CHE,1953,1969.1554983159774
2795,CHE,1954,1961.7765545788238
2796,CHE,1955,1954.4252616852536
2797,CHE,1956,1947.1015160202815
2798,CHE,1957,1939.8052143571945
2799,CHE,1958,1932.536253856096
2800,CHE,1959,1925.2945320624594
2801,CHE,1960,1918.07994690568
2802,CHE,1961,1920.8206648879057
2803,CHE,1962,1923.5652990442566
2804,CHE,1963,1926.3138549704995
2805,CHE,1964,1929.0663382703976
2806,CHE,1965,1931.822754555721
2807,CHE,1966,1934.583109446259
2808,CHE,1967,1937.3474085698288
2809,CHE,1968,1940.115657562292
2810,CHE,1969,1942.8878620675607
2811,CHE,1970,1945.6640277376143
2812,CHE,1971,1935.6038243465064
2813,CHE,1972,1911.868247511207
2814,CHE,1973,1885.707777380558
2815,CHE,1974,1857.5500464983152
2816,CHE,1975,1848.9757183974905
2817,CHE,1976,1845.9261268700188
2818,CHE,1977,1819.1488411347834
2819,CHE,1978,1805.045835146837
2820,CHE,1979,1792.6848898440494
2821,CHE,1980,1778.4932042963385
2822,CHE,1981,1759.6369739049926
2823,CHE,1982,1748.798361044837
2824,CHE,1983,1734.3968005390154
2825,CHE,1984,1715.7534010911056
2826,CHE,1985,1709.6601300068146
2827,CHE,1986,1701.2877942365647
2828,CHE,1987,1700.0482510567394
2829,CHE,1988,1699.5329242816613
2830,CHE,1989,1684.7283644431304
2831,CHE,1990,1675.3874508145595
2832,CHE,1991,1673.0
2833,CHE,1992,1685.0
2834,CHE,1993,1686.0
2835,CHE,1994,1706.0
2836,CHE,1995,1686.0
2837,CHE,1996,1659.0
2838,CHE,1997,1649.0
2839,CHE,1998,1657.0
2840,CHE,1999,1678.0
2841,CHE,2000,1674.0
2842,CHE,2001,1636.0
2843,CHE,2002,1614.0
2844,CHE,2003,1627.0
2845,CHE,2004,1657.0
2846,CHE,2005,1652.0
2847,CHE,2006,1643.0
2848,CHE,2007,1633.0
2849,CHE,2008,1623.0
2850,CHE,2009,1615.0
2851,CHE,2010,1613.0
2852,CHE,2011,1607.0
2853,CHE,2012,1592.0
2854,CHE,2013,1576.0
2855,CHE,2014,1568.0
2856,TWN,1951,2460.557645785766
2857,TWN,1952,2458.332073823137
2858,TWN,1953,2456.108514888153
2859,TWN,1954,2453.886967160031
2860,TWN,1955,2451.6674288196373
2861,TWN,1956,2449.449898049481
2862,TWN,1957,2447.2343730337193
2863,TWN,1958,2445.020851958148
2864,TWN,1959,2442.809333010205
2865,TWN,1960,2440.5998143789693
2866,TWN,1961,2438.392294255154
2867,TWN,1962,2436.186770831113
2868,TWN,1963,2433.9832423008324
2869,TWN,1964,2431.781706859933
2870,TWN,1965,2429.582162705668
2871,TWN,1966,2427.38460803692
2872,TWN,1967,2425.189041054201
2873,TWN,1968,2422.995459959652
2874,TWN,1969,2420.803862957038
2875,TWN,1970,2418.6142482517484
2876,TWN,1971,2414.215217391305
2877,TWN,1972,2408.782983023444
2878,TWN,1973,2406.426544021025
2879,TWN,1974,2407.2468282901928
2880,TWN,1975,2403.5177322948743
2881,TWN,1976,2399.192591285941
2882,TWN,1977,2393.876605351171
2883,TWN,1978,2398.5951532659287
2884,TWN,1979,2411.2053949004976
2885,TWN,1980,2402.1383534443257
2886,TWN,1981,2386.5117955635487
2887,TWN,1982,2358.228571428572
2888,TWN,1983,2341.168514851485
2889,TWN,1984,2334.1728243021344
2890,TWN,1985,2328.5102450188474
2891,TWN,1986,2331.503724298461
2892,TWN,1987,2340.7513462976817
2893,TWN,1988,2327.8520907857405
2894,TWN,1989,2309.9236255752
2895,TWN,1990,2301.880441868888
2896,TWN,1991,2295.7135205593077
2897,TWN,1992,2297.24797265987
2898,TWN,1993,2294.7789022298457
2899,TWN,1994,2276.096174068688
2900,TWN,1995,2279.189386401327
2901,TWN,1996,2259.870710189678
2902,TWN,1997,2232.0286944202267
